promotion,name,overallCap
AEW,Will Ospreay,93
AEW,Jon Moxley,92
AEW,Kenny Omega,92
AEW,Bryan Danielson,92
AEW,Kazuchika Okada,92
AEW,MJF,91
AEW,Swerve Strickland,91
AEW,Hangman Adam Page,89
AEW,Chris Jericho,88
AEW,Adam Copeland,88
AEW,Jay White,88
AEW,Samoa Joe,88
AEW,PAC,88
AEW,Matt Jackson,87
AEW,Nick Jackson,87
AEW,Darby Allin,87
AEW,Konosuke Takeshita,87
AEW,Adam Cole,86
AEW,Malakai Black,86
AEW,Claudio Castagnoli,86
AEW,Rey Fenix,86
AEW,Penta El Zero Miedo,85
AEW,Ricochet,85
AEW,Orange Cassidy,85
AEW,Christian Cage,85
AEW,Wardlow,84
AEW,Daniel Garcia,82
AEW,Hook,80
